cx cy cz meanP meanTau meanYplus
 0 0.0999999999999998 0 -0.1169447565419085 0.01305127397564325 0.3214004992261126
 0.0499999999999999 0.09876880000000016 0 -0.1119236661206334 0.01019123008729279 0.2863351682323647
 0.0999999999999998 0.09510570000000008 0 -0.1000372929152627 0.00725845356882722 0.2378164906077258
 0.1500000000000002 0.08910070000000007 0 -0.08455720504382937 0.004756057830097424 0.1877319677939433
 0.1999999999999996 0.08090170000000006 0 -0.06883504791478419 0.003137194232057221 0.1491661068366933
 0.25 0.07071070000000006 0 -0.05522263888118797 0.002449746707914 0.1309318719138294
 0.3000000000000005 0.05877849999999991 0 -0.04460639092283397 0.002274218116714497 0.1258643921310532
 0.3500000000000006 0.04539900000000004 0 -0.0368220061409491 0.00226270753786007 0.125083725434063
 0.3999999999999992 0.03090169999999995 0 -0.03120594591298979 0.002303339832120041 0.1256883076497293
 0.4500000000000005 0.01564340000000002 0 -0.02720871094913152 0.002386642034580467 0.1275737323135307
 0.5 6.12323e-18 0 -0.02440111706952823 0.002528588755599096 0.1312884386072248
 0.549999999999999 -0.01564340000000002 0 -0.02227107722750215 0.002743840572925187 0.137351963229052
 0.600000000000001 -0.03090169999999995 0 -0.02017820860742326 0.003024754312404864 0.1455892142494534
 0.6499999999999992 -0.04539900000000004 0 -0.01752915093214245 0.003358552231104121 0.1557818242954589
 0.7000000000000013 -0.05877849999999991 0 -0.01391836947156691 0.003743532448623527 0.1677403640884959
 0.75 -0.07071070000000006 0 -0.008951716773104164 0.004176412439691851 0.1810520922633011
 0.7999999999999984 -0.08090170000000006 0 -0.002329464741827064 0.004651603053063233 0.1951679032891872
 0.8499999999999992 -0.08910070000000007 0 0.00630641071789478 0.005135270414653829 0.2090430955969778
 0.9000000000000009 -0.09510570000000008 0 0.01696585522811238 0.005573272006216999 0.2212099228847364
 0.9500000000000017 -0.09876880000000016 0 0.02947055682962239 0.005965060927651021 0.2309962021200125
 1 -0.0999999999999998 0 0.04369549012210609 0.006267662722561726 0.2372305975320478
 1.049999999999998 -0.09876880000000016 0 0.05913077406088589 0.006481194343659596 0.2399829855028572
 1.099999999999998 -0.09510570000000008 0 0.07524839345886573 0.006624729105068961 0.2398543803685438
 1.150000000000002 -0.08910070000000007 0 0.09132814986118883 0.006719839987510994 0.237496022136054
 1.200000000000002 -0.08090170000000006 0 0.1064218166130728 0.006815505804674961 0.2343614347387562
 1.25 -0.07071070000000006 0 0.1194724151918276 0.007015217843294118 0.2328969448940817
 1.299999999999998 -0.05877849999999991 0 0.1293609554311483 0.007421517715903614 0.2352731849314589
 1.349999999999997 -0.04539900000000004 0 0.134888887813976 0.008133026269872529 0.2432163890786135
 1.400000000000003 -0.03090169999999995 0 0.1351960736374237 0.009187594331850391 0.2567252599577804
 1.45 -0.01564340000000002 0 0.1296685975906876 0.01054212967396961 0.2742343817519658
 1.5 -1.83697e-17 0 0.1179642393490094 0.01210088719309537 0.2936161678479158
 1.55 0.01564340000000002 0 0.09991808226626489 0.01375084410756537 0.3131917454775106
 1.599999999999997 0.03090169999999995 0 0.07615007983578444 0.0153707048611386 0.3318451357616908
 1.650000000000003 0.04539900000000004 0 0.047618093938423 0.01684053876609538 0.3486726994081353
 1.699999999999998 0.05877849999999991 0 0.01577852340506086 0.01803409219859913 0.3627358578618624
 1.75 0.07071070000000006 0 -0.0173801943855895 0.01881082559432323 0.3728422455441647
 1.800000000000002 0.08090170000000006 0 -0.04937863080140054 0.01904567118820283 0.3777403935153206
 1.849999999999997 0.08910070000000007 0 -0.07756868182994497 0.01862569721986961 0.3759269279127663
 1.900000000000003 0.09510570000000008 0 -0.09938705788541759 0.01748011852200588 0.3659578437326832
 1.949999999999997 0.09876880000000016 0 -0.1128018004401585 0.01560803926244719 0.346667491890631
